imglink,infolink,name,city,country,lat,lng
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzFiMDcyMzQ1LTgwZWYtNDM2NC1hNmYwLWIyMTIzNzMxM2ZmOTc2NjQ3YTI0Yjg4M2NmMzk2NF9EZXRhaWwgb2YgY2VpbGluZyBvZiBtYWluIHRlbXBsZS5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/Detail%20of%20ceiling%20of%20main%20temple.jpg,https://www.atlasobscura.com/places/hathor-temple,Hathor Temple,Dandarah,Egypt,26.141738,32.666262
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzU2OTUzNjBhYTcwMzliODI2YV9EZXBvc2l0cGhvdG9zXzcyNzAxMDI5X29yaWdpbmFsLmpwZyJdLFsicCIsImNvbnZlcnQiLCIiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il0sWyJwIiwidGh1bWIiLCI2MDB4NDAwIyJdXQ/Depositphotos_72701029_original.jpg,https://www.atlasobscura.com/places/colossi-of-memnon,Colossi of Memnon,Luxor,Egypt,25.720598,32.610456
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzQyODc0M2U5NWEzODE2NDAzOF9kZXNlcnQxMC5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0,https://www.atlasobscura.com/places/desert-breath,Desert Breath,Qesm Hurghada,Egypt,27.380403,33.632156
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzIxOTUzNTRkLWJkNTgtNDA0Zi04NzVjLTU4Zjc4NzY1ZDc2N2MzY2MxNGM5MTQ2Mzc1NmNiY19CNDlFNjQuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/B49E64.jpg,https://www.atlasobscura.com/places/white-desert,White Desert,Al Farafrah,Egypt,27.06,27.97
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2M1NWI2ZTllZWZhMDNiZWRhNF82MzQyMjA3NTI0XzUxMGQwM2EwNTBfYi5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0,https://www.atlasobscura.com/places/leftover-star-wars-sets,Leftover Star Wars Sets,Tozeur,Tunisia,33.92403,8.131213
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzIxOTI4NjQ2NjNfZWM0YTI2NDcwYy5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/2192864663_ec4a26470c.jpg,https://www.atlasobscura.com/places/hotel-sidi-driss,Hotel Sidi Driss,Matmatat-Al-Qadimal,Tunisia,33.545823,9.968492
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2U5MzdkOTA2LTdmZTEtNDY0Zi05YjI1LTZhMzZiMmQzYjRiOGE2OGE1ZjhlM2MxYmY4YjU4OV90b3VyIGVsIGplbSB0dW5pc2lhLkpQRyJdLFsicCIsImNvbnZlcnQiLCIiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il0sWyJwIiwidGh1bWIiLCI2MDB4NDAwIyJdXQ/tour%20el%20jem%20tunisia.JPG,https://www.atlasobscura.com/places/el-jem-amphitheatre,El Jem Amphitheatre,El Jem,Tunisia,35.296673,10.706873
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzhkNTgwZDg0NWQ5YzUwMzMwNzAyOGQzYjk3MjllNjc2ZTk1ODM5N2UuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/8d580d845d9c503307028d3b9729e676e958397e.jpg,https://www.atlasobscura.com/places/ksar-ouleds,Ksar Ouled Soltane,Tataouine,Tunisia,32.933441,10.45171
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzdiZTFiZWYxNTA5YzkxY2Q5NV8wMDQuSlBHIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d,https://www.atlasobscura.com/places/dougga,Dougga,Teboursouk,Tunisia,36.423691,9.220315
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzg2ZGMxNTJjLWE5ZmQtNDYwZS05MWUwLTcyM2ZmYjBkOGU1NDEzMTllY2I2ZDViMWJlMTY2OV9NYXRtYXRhX2hvdXNlXzYuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/Matmata_house_6.jpg,https://www.atlasobscura.com/places/matmata-underground-houses,Matmata Underground Houses,Matmatat-Al-Qadimal,Tunisia,33.542645,9.967275
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzhlOTA1NGViNjE5MjBjY2NkMF9UdW5pc2lzZV9DYXJ0aGFnZV9Ub3BoZXRfU2FsYW1ib18wMi5qcGVnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/Tunisise_Carthage_Tophet_Salambo_02.jpeg,https://www.atlasobscura.com/places/tophet-at-carthage,Tophet at Carthage,Site archéologique de Carthage,Tunisia,36.841254,10.322863
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzE2YmNjMTI5LWY0MmUtNDA4Mi04NGZhLWZhMDE3YWE2ODdkOGJhOTFiZjNlMjI2NGI1YWZiMl9SV0RHV00uanBnIl0sWyJwIiwiY29udmVydCIsIi1hdXRvLW9yaWVudCAiXSxbInAiLCJ0aHVtYiIsIjI4NjJ4MTkwOCswKzAiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il0sWyJwIiwidGh1bWIiLCI2MDB4NDAwIyJdXQ/RWDGWM.jpg,https://www.atlasobscura.com/places/lars-homestead,Lars Homestead,Nefta,Tunisia,33.842829,7.779036
